ordem	conjunto	post	hashtag	legenda
001	arte	66_viver_em_conflito	#silencioQueViraConflito	No jantar, é comum engolir a frase que discordava só para manter o clima leve. No dia seguinte o assunto some da conversa, mas alguma coisa fica pesada no corpo, sem nome certo. ¶ Quando você guarda o que pensa para evitar um atrito, o atrito não desaparece, apenas muda de endereço, sai da mesa e entra em você. Enquanto isso, o outro segue contando sozinho a história sobre quem você é, porque ninguém apareceu para dizer o contrário. ¶ Discordar, às vezes, é a única forma de aparecer inteiro diante de alguém.
002	arte	20_a_ferida_e_quem_feriu	#cuidarDoProprioCorte	Há uma linha nítida entre quem causou o corte e quem cuida dele depois, mas as duas tarefas costumam ser confundidas por anos, como se esperar a volta da pessoa errada fizesse parte do tratamento. ¶ Não escolhemos a maioria das dores que carregamos, mas ficamos sozinhos na parte de lidar com elas, o que parece injusto porque é. Ainda assim, olhar para o próprio machucado, em vez de ficar repassando quem causou, é o único movimento que muda alguma coisa de fato. ¶ Cuidar de si não apaga o que aconteceu, só devolve a atenção para onde ela ainda pode ajudar.
003	arte	11_a_consciencia_organiza	#organizarPorDentro	Dá para passar anos organizando só a superfície da própria vida, a casa, o corpo, a agenda, sem nunca abrir a gaveta de baixo, aquela que ninguém vê quando visita. ¶ O que pesa de verdade geralmente mora num lugar que não aparece em foto, uma mágoa antiga, uma decisão adiada, uma versão de você que só existiu na sua cabeça. Amadurecer tem a ver com deixar de arrumar apenas o que se vê e começar a mexer no que sustenta tudo isso por dentro. ¶ No fim, só você sabe o tamanho real do que atravessou.
004	arte	109_fui_a_minha_procura	#foiSeProcurar	Quem aprendeu cedo a esconder o que sente às vezes precisa de um tempo, hoje, só para descobrir o que está sentindo, como quem procura um objeto que ela mesma guardou e já não lembra onde. ¶ A emoção não some só porque você para de mostrar, ela continua ali, enterrada sob camadas de controle, educação, medo de incomodar. Quando finalmente alguém pergunta como você está, a resposta demora, porque primeiro é preciso ir atrás dela. ¶ O que você enxerga lá fora costuma ser reflexo de para onde você já olhou primeiro, por dentro.
005	arte	100_paz_e_deixar_as_pessoas_erradas	#descansarDaOpiniaoAlheia	Corrigir a opinião errada que alguém formou sobre você dá um trabalho enorme, geralmente maior do que vale a pena, sobretudo quando envolve repetir a mesma explicação de novo antes de dormir. ¶ Gastar a noite tentando mudar a opinião de alguém sobre quem você é costuma custar mais do que aceitar que essa pessoa vai continuar errada, e seguir a vida mesmo assim. Tem gente que só procura você quando está sem outra opção, e servir de plano B tem gosto de disponibilidade, não de importância. ¶ Sossegar em relação à opinião alheia ainda deixa espaço de sobra para continuar se importando com quem te vê de verdade.
006	arte	09_autoconhecimento	#versaoQueSeRevisa	Autoconhecimento costuma ser tratado como uma coleção só de descobertas bonitas, fáceis de repetir para os outros. Mas entender a própria cabeça inclui perceber que você também é difícil às vezes, chato em algum ponto específico, sem que isso cancele o resto. ¶ O trabalho não termina numa frase de efeito sobre quem você é, porque essa frase muda de novo daqui a um ano, quando mais uma camada aparece. Ninguém fecha esse relatório, só vai revisando a versão anterior à luz do que aprendeu. ¶ Aceitar o que incomoda em você mesmo costuma render mais do que colecionar apenas os traços que agradam.
007	arte	60_desaprender_o_que_disseram	#crencaQueFicouDepois	Antes de qualquer descoberta boa sobre quem você é, normalmente vem uma etapa mais chata, desmontar o rótulo que colocaram em você ainda criança, aquele comentário repetido tantas vezes que virou verdade sem ninguém checar. ¶ A professora que disse que você era difícil, o comentário sobre ser sensível demais, a comparação com um irmão mais fácil de lidar, tudo isso vira material de construção antes mesmo de você escolher o que quer ser. O estrago maior raramente vem só do episódio em si, vem principalmente da crença que ficou depois dele, quieta, funcionando por trás das decisões. ¶ Desaprender isso é trabalho de anos, feito devagar, sem cerimônia.
008	arte	96_o_que_e_inegociavel	#culpaDoPrimeiroNao	A culpa tem o hábito de aparecer bem na primeira vez que você diz não, como se o corpo ainda não tivesse recebido a notícia de que aquilo também é permitido. ¶ Passar anos cedendo no que era importante ensina o entorno inteiro a esperar que você continue cedendo, e quando você para, o estranhamento é geral, inclusive seu. Sustentar um limite claro costuma afastar menos gente do que parece no início, porque quem ficava só por causa da sua flexibilidade nunca esteve ali por você de verdade. ¶ O incômodo do começo costuma ser só o corpo aprendendo um jeito novo de existir perto dos outros.
009	arte	50_a_vinda_da_lucidez	#vinculoQueAcabaPorDentro	Alguns vínculos não terminam em briga feia nem porta batendo. Terminam numa segunda-feira qualquer, sem motivo aparente, quando alguma coisa dentro de você para de acreditar naquilo do jeito que acreditava antes. ¶ Essa lucidez costuma chegar depois, nunca no auge do sofrimento, e quando chega já reorganiza o que você sente sobre a pessoa, mesmo que nada nela tenha mudado. Dá para continuar dividindo o mesmo espaço meses depois de um vínculo já ter acabado por dentro. ¶ Uma vez que essa clareza chega, ela raramente dá meia volta.
010	arte	75_o_barulho_ai_dentro	#escolherOProprioIncomodo	Ninguém atravessa a vida sem desconforto nenhum, isso praticamente não existe. O que muda de pessoa para pessoa é qual incômodo cada uma escolhe carregar, o de um emprego que não preenche ou o de recomeçar do zero depois dos trinta. ¶ Muita gente adia decisões esperando a opção sem custo nenhum, e essa opção não existe. O desconforto que você escolhe carregar diz mais sobre suas prioridades do que qualquer discurso pronto sobre autoconhecimento. ¶ Escolher o próprio incômodo já é, de certa forma, um jeito de se posicionar na vida.
